original,uniformat,equivalent
"Herber, Bernard P",Bernard P Herber,"['Herber, Bernard P']"
"Rosier, Bernard",Bernard Rosier,"['Rosier, Bernard']"
"Rostker, Bernard",Bernard Rostker,"['Rostker, Bernard']"
Bernard Ruffieux,Bernard Ruffieux,['Bernard Ruffieux']
"Saffran, Bernard",Bernard Saffran,"['Saffran, Bernard', 'Bernard Saffran']"
"Saffron, Bernard",Bernard Saffron,"['Saffron, Bernard']"
"Salanie, Bernard",Bernard Salanie,"['Salanie, Bernard', 'Bernard Salanie']"
"Salanié, Bernard",Bernard Salanié,"['Salanié, Bernard', 'Bernard Salanié']"
"Shull, Bernard",Bernard Shull,"['Shull, Bernard']"
"Sinclair-Desgagne, Bernard",Bernard Sinclair-Desgagne,"['Sinclair-Desgagne, Bernard']"
Bernard Sinclair-Desgagné,Bernard Sinclair-Desgagné,['Bernard Sinclair-Desgagné']
"Udis, Bernard",Bernard Udis,"['Udis, Bernard']"
"Tew, Bernard V",Bernard V Tew,"['Tew, Bernard V']"
"Van Praag, Bernard",Bernard Van Praag,"['Van Praag, Bernard', 'van Praag, Bernard M S']"
Bernard W. Dempsey,Bernard W. Dempsey,['Bernard W. Dempsey']
Bernard Wasow,Bernard Wasow,"['Bernard Wasow', 'Wasow, Bernard']"
"Wixon, Bernard",Bernard Wixon,"['Wixon, Bernard', 'Bernard Wixon']"
Bernard Yeung,Bernard Yeung,"['Bernard Yeung', 'Yeung, Bernard']"
"van Praag, Bernard",Bernard van Praag,"['van Praag, Bernard', 'Van Praag, Bernard M.S.', 'Van Praag, Bernard M. S.', 'Van Praag, B. M. S.', 'Bernard M. S. van Praag', 'van Praag, Bernard M. S.', 'van Praag, Bernard M S']"
Bernardin Akitoby,Bernardin Akitoby,['Bernardin Akitoby']
"Adao, Bernardino",Bernardino Adao,"['Adao, Bernardino']"
"Adão, Bernardino",Bernardino Adão,"['Adão, Bernardino', 'Bernardino Adão']"
Bernardo A. Huberman,Bernardo A. Huberman,['Bernardo A. Huberman']
"Bortolotti, Bernardo",Bernardo Bortolotti,"['Bortolotti, Bernardo', 'Bernardo Bortolotti']"
Bernardo Guimaraes,Bernardo Guimaraes,"['Bernardo Guimaraes', 'Guimaraes, Bernardo']"
Bernardo Moreno,Bernardo Moreno,"['Bernardo Moreno', 'Moreno, Bernardo']"
Bernardo S. Blum,Bernardo S. Blum,"['Bernardo S. Blum', 'Blum, Bernardo S.']"
Bernardo S. Da Silveira,Bernardo S. Da Silveira,"['Bernardo S. Da Silveira', 'Bernardo S. Silveira']"
Bernd Fitzenberger,Bernd Fitzenberger,"['Bernd Fitzenberger', 'Fitzenberger, Bernd']"
"Hayo, Bernd",Bernd Hayo,"['Hayo, Bernd']"
"Huber, Bernd",Bernd Huber,"['Huber, Bernd']"
Bernd Irlenbusch,Bernd Irlenbusch,"['Bernd Irlenbusch', 'Irlenbusch, Bernd']"
"Lucke, Bernd",Bernd Lucke,"['Lucke, Bernd']"
Bernd Raffelhuschen,Bernd Raffelhuschen,"['Bernd Raffelhuschen', 'Raffelhuschen, Bernd']"
"Scherer, Bernd",Bernd Scherer,"['Scherer, Bernd']"
"Schlusche, Bernd",Bernd Schlusche,"['Schlusche, Bernd']"
"Schwaab, Bernd",Bernd Schwaab,"['Schwaab, Bernd', 'Bernd Schwaab']"
"Weber, Bernd",Bernd Weber,"['Weber, Bernd']"
"Wilfling, Bernd",Bernd Wilfling,"['Wilfling, Bernd']"
"Stone, Bernell K",Bernell K Stone,"['Stone, Bernell K']"
"Breloer, Bernhard",Bernhard Breloer,"['Breloer, Bernhard']"
"Eckwert, Bernhard",Bernhard Eckwert,"['Eckwert, Bernhard']"
"Herz, Bernhard",Bernhard Herz,"['Herz, Bernhard']"
Bernhard Kittel,Bernhard Kittel,"['Bernhard Kittel', 'Kittel, Bernhard']"
"Korte, Bernhard",Bernhard Korte,"['Korte, Bernhard']"
"Mahlberg, Bernhard",Bernhard Mahlberg,"['Mahlberg, Bernhard']"
"Paasche, Bernhard",Bernhard Paasche,"['Paasche, Bernhard']"
Bernhard Rauch,Bernhard Rauch,['Bernhard Rauch']
"Schipp, Bernhard",Bernhard Schipp,"['Schipp, Bernhard']"
"Schwab, Bernhard",Bernhard Schwab,"['Schwab, Bernhard']"
"Schwetzler, Bernhard",Bernhard Schwetzler,"['Schwetzler, Bernhard']"
"Zwergel, Bernhard",Bernhard Zwergel,"['Zwergel, Bernhard']"
Bernhard von Stengel,Bernhard von Stengel,"['Bernhard von Stengel', 'Bernhard Stengel']"
Bernheim B. Douglas,Bernheim B. Douglas,['Bernheim B. Douglas']
Bernice Shoul,Bernice Shoul,['Bernice Shoul']
"Buechel, Berno",Berno Buechel,"['Buechel, Berno']"
"Odegaard, Bernt Arne",Bernt Arne Odegaard,"['Odegaard, Bernt Arne', 'Odegaard, Bernt A']"
Bernt Arne Ødegaard,Bernt Arne Ødegaard,['Bernt Arne Ødegaard']
Bernt Bratsberg,Bernt Bratsberg,"['Bernt Bratsberg', 'Bratsberg, Bernt']"
Bernt P. Stigum,Bernt P. Stigum,"['Bernt P. Stigum', 'B. P. Stigum', 'Stigum, Bernt P.', 'Stigum, Bernt P']"
"Bahadir, Berrak",Berrak Bahadir,"['Bahadir, Berrak']"
"Büyükkarabacak, Berrak",Berrak Büyükkarabacak,"['Büyükkarabacak, Berrak']"
"Wilson, Berry",Berry Wilson,"['Wilson, Berry']"
Bert Brys,Bert Brys,['Bert Brys']
"D’Espallier, Bert",Bert D’Espallier,"['D’Espallier, Bert']"
Bert F. Hoselitz,Bert F. Hoselitz,['Bert F. Hoselitz']
Bert G. Hickman,Bert G. Hickman,"['Bert G. Hickman', 'Hickman, Bert G.', 'Hickman, Bert G']"
"Balk, Bert M",Bert M Balk,"['Balk, Bert M']"
"Scholtens, Bert",Bert Scholtens,"['Scholtens, Bert']"
Bert Van Landeghem,Bert Van Landeghem,['Bert Van Landeghem']
"Verstraete, Bert",Bert Verstraete,"['Verstraete, Bert']"
"Willems, Bert",Bert Willems,"['Willems, Bert']"
Berta Esteve-Volart,Berta Esteve-Volart,"['Berta Esteve-Volart', 'Esteve-Volart, Berta']"
Bertan Turhan,Bertan Turhan,['Bertan Turhan']
Bertel Schjerning,Bertel Schjerning,"['Bertel Schjerning', 'Schjerning, Bertel']"
Bertha W. Clark,Bertha W. Clark,['Bertha W. Clark']
Berthold Herrendorf,Berthold Herrendorf,"['Berthold Herrendorf', 'Herrendorf, Berthold']"
"Haag, Berthold R.",Berthold R. Haag,"['Haag, Berthold R.']"
"Wigger, Berthold U.",Berthold U. Wigger,"['Wigger, Berthold U.']"
"Holmlund, Bertil",Bertil Holmlund,"['Holmlund, Bertil', 'Bertil Holmlund']"
"Naslund, Bertil",Bertil Naslund,"['Naslund, Bertil']"
"Ohlin, Bertil",Bertil Ohlin,"['Ohlin, Bertil', 'Bertil Ohlin']"
Bertil Tungodden,Bertil Tungodden,"['Bertil Tungodden', 'Tungodden, Bertil']"
"Antoine, Bertille",Bertille Antoine,"['Antoine, Bertille']"
Bertocchi Graziella,Bertocchi Graziella,['Bertocchi Graziella']
Bertram F. Levin,Bertram F. Levin,['Bertram F. Levin']
"Wesselman, Bertram M.",Bertram M. Wesselman,"['Wesselman, Bertram M.']"
"Schefold, Bertram",Bertram Schefold,"['Schefold, Bertram']"
"Maillet, Bertrand B.",Bertrand B. Maillet,"['Maillet, Bertrand B.']"
"Candelon, Bertrand",Bertrand Candelon,"['Candelon, Bertrand']"
"Chopard, Bertrand",Bertrand Chopard,"['Chopard, Bertrand']"
"Clarke, Bertrand",Bertrand Clarke,"['Clarke, Bertrand']"
Bertrand Gruss,Bertrand Gruss,['Bertrand Gruss']
"Jacquillat, Bertrand",Bertrand Jacquillat,"['Jacquillat, Bertrand', 'Jacquillat, Bertrand C', 'Jacquillat, Bertrand C.']"
"Melenberg, Bertrand",Bertrand Melenberg,"['Melenberg, Bertrand']"
Bertrand R. Munier,Bertrand R. Munier,['Bertrand R. Munier']
"Renaud, Bertrand",Bertrand Renaud,"['Renaud, Bertrand']"
Bertrand Rime,Bertrand Rime,"['Bertrand Rime', 'Rime, Bertrand']"
"Tavin, Bertrand",Bertrand Tavin,"['Tavin, Bertrand']"
"Verheyden, Bertrand",Bertrand Verheyden,"['Verheyden, Bertrand']"
"Villeneuve, Bertrand",Bertrand Villeneuve,"['Villeneuve, Bertrand']"
"Wigniolle, Bertrand",Bertrand Wigniolle,"['Wigniolle, Bertrand']"
Beryl W. Sprinkel,Beryl W. Sprinkel,['Beryl W. Sprinkel']
"Rabin, Bess",Bess Rabin,"['Rabin, Bess']"
"Caeyers, Bet",Bet Caeyers,"['Caeyers, Bet']"
"Andrews, Beth",Beth Andrews,"['Andrews, Beth']"
Beth Anne Wilson,Beth Anne Wilson,"['Beth Anne Wilson', 'Beth A. Wilson']"
"Asch, Beth",Beth Asch,"['Asch, Beth', 'Asch, Beth J', 'Beth J. Asch']"
"Allen, Beth E",Beth E Allen,"['Allen, Beth E', 'Allen, Beth', 'Beth Allen']"
"Ingram, Beth F.",Beth F. Ingram,"['Ingram, Beth F.', 'Ingram, Beth Fisher']"
"Hayes, Beth",Beth Hayes,"['Hayes, Beth']"
"Niemi, Beth",Beth Niemi,"['Niemi, Beth', 'Niemi, Beth T']"
"Seely, Beth",Beth Seely,"['Seely, Beth']"
"Yarbrough, Beth V.",Beth V. Yarbrough,"['Yarbrough, Beth V.']"
"Berghaus, Betina",Betina Berghaus,"['Berghaus, Betina']"
Betsey A. Kuhn,Betsey A. Kuhn,['Betsey A. Kuhn']
Betsey Stevenson,Betsey Stevenson,['Betsey Stevenson']
"White, Betsy Buttrill",Betsy Buttrill White,"['White, Betsy Buttrill']"
"Polkinghorn, Bette A",Bette A Polkinghorn,"['Polkinghorn, Bette A']"
Bettina Aten,Bettina Aten,['Bettina Aten']
"Grün, Bettina",Bettina Grün,"['Grün, Bettina']"
"Klaus, Bettina",Bettina Klaus,"['Klaus, Bettina']"
"Loris, Bettina",Bettina Loris,"['Loris, Bettina']"
"Peiers, Bettina",Bettina Peiers,"['Peiers, Bettina']"
Bettina Peiers Melvin,Bettina Peiers Melvin,['Bettina Peiers Melvin']
Bettina Peters,Bettina Peters,['Bettina Peters']
Bettina Rockenbach,Bettina Rockenbach,"['Bettina Rockenbach', 'Rockenbach, Bettina']"
Bettina Siflinger,Bettina Siflinger,['Bettina Siflinger']
"Gibson, Betty Blecha",Betty Blecha Gibson,"['Gibson, Betty Blecha']"
"Daniel, Betty C.",Betty C. Daniel,"['Daniel, Betty C.', 'Daniel, Betty C', 'Betty C. Daniel']"
"Blecha, Betty J",Betty J Blecha,"['Blecha, Betty J']"
Betty J. Lecha,Betty J. Lecha,['Betty J. Lecha']
Betty J. Simkins,Betty J. Simkins,"['Betty J. Simkins', 'Simkins, Betty J', 'Simkins, Betty J.', 'Simkins, Betty']"
"Jackson, Betty",Betty Jackson,"['Jackson, Betty', 'Jackson, Betty R.']"
"Park, Beum J.",Beum J. Park,"['Park, Beum J.']"
"Park, Beum-Jo",Beum-Jo Park,"['Park, Beum-Jo', 'Park, B. U.']"
"Dahlby, Bev",Bev Dahlby,"['Dahlby, Bev', 'Dahlby, B. G.']"
"Blair, Bevan J.",Bevan J. Blair,"['Blair, Bevan J.']"
"Marshall, Beverly B.",Beverly B. Marshall,"['Marshall, Beverly B.']"
Beverly Duncan,Beverly Duncan,['Beverly Duncan']
"Hirtle, Beverly J.",Beverly J. Hirtle,"['Hirtle, Beverly J.', 'Hirtle, Beverly']"
Beverly J. Lapham,Beverly J. Lapham,"['Beverly J. Lapham', 'Lapham, Beverly', 'Beverly Lapham']"
"Walther, Beverly R.",Beverly R. Walther,"['Walther, Beverly R.']"
Bevin Ashenmiller,Bevin Ashenmiller,['Bevin Ashenmiller']
"Ural Marchand, Beyza",Beyza Ural Marchand,"['Ural Marchand, Beyza']"
"Gavish, Bezalel",Bezalel Gavish,"['Gavish, Bezalel']"
Bezalel Peleg,Bezalel Peleg,"['Bezalel Peleg', 'Peleg, Bezalel']"
Bhagwan Chowdhry,Bhagwan Chowdhry,"['Bhagwan Chowdhry', 'Chowdhry, Bhagwan']"
Bhanoo B. Das Gupta,Bhanoo B. Das Gupta,['Bhanoo B. Das Gupta']
"Balasubramnian, Bhanu",Bhanu Balasubramnian,"['Balasubramnian, Bhanu']"
"Narasimhan, Bhanu",Bhanu Narasimhan,"['Narasimhan, Bhanu']"
"Jain, Bharat A.",Bharat A. Jain,"['Jain, Bharat A.', 'Jain, Bharat A']"
"Bhole, Bharat",Bharat Bhole,"['Bhole, Bharat']"
"Hazari, Bharat R",Bharat R Hazari,"['Hazari, Bharat R', 'Hazari, Bharat R.']"
"Kolluri, Bharat R",Bharat R Kolluri,"['Kolluri, Bharat R']"
Bharat Ramaswami,Bharat Ramaswami,['Bharat Ramaswami']
"Trehan, Bharat",Bharat Trehan,"['Trehan, Bharat']"
"Bhattacharyya, Bharati",Bharati Bhattacharyya,"['Bhattacharyya, Bharati']"
Bhashkar Mazumder,Bhashkar Mazumder,['Bhashkar Mazumder']
"Chakravorti, Bhaskar",Bhaskar Chakravorti,"['Chakravorti, Bhaskar']"
Bhaskar Dutta,Bhaskar Dutta,"['Bhaskar Dutta', 'Dutta, Bhaskar']"
Bhaskaran Swaminathan,Bhaskaran Swaminathan,"['Bhaskaran Swaminathan', 'Swaminathan, Bhaskaran']"
Bhattacharya Utpal,Bhattacharya Utpal,['Bhattacharya Utpal']
Bhaven Sampat,Bhaven Sampat,['Bhaven Sampat']
"Sharma, Bhu Dev",Bhu Dev Sharma,"['Sharma, Bhu Dev']"
"Hong, Bi-Shia",Bi-Shia Hong,"['Hong, Bi-Shia']"
"Bossone, Biagio",Biagio Bossone,"['Bossone, Biagio']"
Biagio Speciale,Biagio Speciale,"['Biagio Speciale', 'Speciale, Biagio']"
"De Paoli, Bianca",Bianca De Paoli,"['De Paoli, Bianca']"
"De Stavola, Bianca",Bianca De Stavola,"['De Stavola, Bianca']"
"DeStavola, Bianca L",Bianca L DeStavola,"['DeStavola, Bianca L']"
"Lu, Biao",Biao Lu,"['Lu, Biao']"
"Saha, Bibhas",Bibhas Saha,"['Saha, Bibhas', 'Bibhas Saha']"
"Liu, Bibo",Bibo Liu,"['Liu, Bibo']"
"Mohanty, Bidhu B.",Bidhu B. Mohanty,"['Mohanty, Bidhu B.']"
"Chakrabarty, Bidisha",Bidisha Chakrabarty,"['Chakrabarty, Bidisha']"
"Felix J., Bierbrauer",Bierbrauer Felix J.,"['Felix J., Bierbrauer']"
Bige Kahraman,Bige Kahraman,['Bige Kahraman']
Biglaiser Gary,Biglaiser Gary,['Biglaiser Gary']
"Huang, Bihong",Bihong Huang,"['Huang, Bihong']"
"Kuo, Biing-Shen",Biing-Shen Kuo,"['Kuo, Biing-Shen']"
"Aghevli, Bijan B.",Bijan B. Aghevli,"['Aghevli, Bijan B.', 'Aghevli, Bijan B', 'Aghevli, B. B.']"
Bilal Zia,Bilal Zia,"['Bilal Zia', 'Zia, Bilal H.', 'Zia, Bilal']"
Bilge Y&inodot,Bilge Y&inodot,['Bilge Y&inodot']
Bilge Yilmaz,Bilge Yilmaz,"['Bilge Yilmaz', 'Yilmaz, Bilge']"
"Karabay, Bilgehan",Bilgehan Karabay,"['Karabay, Bilgehan']"
"Hu, Biliang",Biliang Hu,"['Hu, Biliang']"
"Neyapti, Bilin",Bilin Neyapti,"['Neyapti, Bilin']"
"Battaile, Bill",Bill Battaile,"['Battaile, Bill']"
"Ding, Bill",Bill Ding,"['Ding, Bill']"
Bill Dupor,Bill Dupor,"['Bill Dupor', 'Dupor, Bill', 'Dupor, Bill, et al']"
"Francis, Bill",Bill Francis,"['Francis, Bill', 'Francis, Bill B', 'Francis, Bill B.']"
"Gerrard, Bill",Bill Gerrard,"['Gerrard, Bill']"
"Gibson, Bill",Bill Gibson,"['Gibson, Bill']"
"Woodland, Bill M",Bill M Woodland,"['Woodland, Bill M']"
"McDonald, Bill",Bill McDonald,"['McDonald, Bill']"
Bill Mcdonald,Bill Mcdonald,['Bill Mcdonald']
Bill Wright,Bill Wright,['Bill Wright']
"Eatherly, Billy J",Billy J Eatherly,"['Eatherly, Billy J']"
"Helms, Billy P.",Billy P. Helms,"['Helms, Billy P.']"
"Chen, Bin",Bin Chen,"['Chen, Bin', 'Bin Chen', 'Bin R. Chen']"
"Du, Bin",Bin Du,"['Du, Bin']"
"Gao, Bin",Bin Gao,"['Gao, Bin']"
"Li, Bin Grace",Bin Grace Li,"['Li, Bin Grace', 'Li, Bin']"
"Guo, Bin",Bin Guo,"['Guo, Bin']"
Bin Miao,Bin Miao,['Bin Miao']
"Peng, Bin",Bin Peng,"['Peng, Bin']"
"Qiu, Bin",Bin Qiu,"['Qiu, Bin']"
"Tan, Bin",Bin Tan,"['Tan, Bin']"
Bin Wei,Bin Wei,['Bin Wei']
"Xu, Bin",Bin Xu,"['Xu, Bin']"
"Yu, Bin",Bin Yu,"['Yu, Bin']"
Bin Zhao,Bin Zhao,['Bin Zhao']
"Zhu, Bin",Bin Zhu,"['Zhu, Bin']"
"Bolaky, Bineswaree",Bineswaree Bolaky,"['Bolaky, Bineswaree']"
"Anderson, Bing",Bing Anderson,"['Anderson, Bing', 'Anderson, B. D. O.', 'B. M. Anderson']"
"Cheng, Bing",Bing Cheng,"['Cheng, Bing']"
Bing Han,Bing Han,"['Bing Han', 'Han, Bing']"
"Liang, Bing",Bing Liang,"['Liang, Bing', 'Bing Liang']"
"Zhu, Bing",Bing Zhu,"['Zhu, Bing']"
"Jing, Bing-Yi",Bing-Yi Jing,"['Jing, Bing-Yi']"
"Hu, Bingbing",Bingbing Hu,"['Hu, Bingbing']"
"Yang, Bingduo",Bingduo Yang,"['Yang, Bingduo']"
"Li, Bingguang",Bingguang Li,"['Li, Bingguang']"
"Lin, Binghuan",Binghuan Lin,"['Lin, Binghuan']"
"Do, Binh Huu",Binh Huu Do,"['Do, Binh Huu']"
"Nguyen, Binh T.",Binh T. Nguyen,"['Nguyen, Binh T.']"
"Gong, Binlei",Binlei Gong,"['Gong, Binlei']"
Binyamin Berdugo,Binyamin Berdugo,['Binyamin Berdugo']
Binzhen Wu,Binzhen Wu,"['Binzhen Wu', 'Wu, Binzhen']"
Bion B. Howard,Bion B. Howard,['Bion B. Howard']
Bipasa Datta,Bipasa Datta,['Bipasa Datta']
"Ajinkya, Bipin B",Bipin B Ajinkya,"['Ajinkya, Bipin B']"
"Xie, Biqin",Biqin Xie,"['Xie, Biqin']"
"Rai, Birendra",Birendra Rai,"['Rai, Birendra']"
"Nilsson, Birger",Birger Nilsson,"['Nilsson, Birger']"
Birger Wernerfelt,Birger Wernerfelt,"['Birger Wernerfelt', 'Wernerfelt, Birger']"
Birgit Grodal,Birgit Grodal,"['Birgit Grodal', 'B. Grodal', 'Grodal, Birgit']"
Birgit Heydenreich,Birgit Heydenreich,['Birgit Heydenreich']
Birgitta Rabe,Birgitta Rabe,['Birgitta Rabe']
"Larsen, Birthe",Birthe Larsen,"['Larsen, Birthe']"
"Gupta, Bishnupriya",Bishnupriya Gupta,"['Gupta, Bishnupriya']"
Bishop C. Hunt,Bishop C. Hunt,['Bishop C. Hunt']
"Goldar, Bishwanath",Bishwanath Goldar,"['Goldar, Bishwanath']"
"Bhattacharyay, Biswa N.",Biswa N. Bhattacharyay,"['Bhattacharyay, Biswa N.']"
"Banerjee, Biswajit",Biswajit Banerjee,"['Banerjee, Biswajit']"
Bity Diene,Bity Diene,['Bity Diene']
"Ju, Biung-Ghi",Biung-Ghi Ju,"['Ju, Biung-Ghi']"
"Brendstrup, Bjarne",Bjarne Brendstrup,"['Brendstrup, Bjarne']"
"Strom, Bjarne",Bjarne Strom,"['Strom, Bjarne']"
Bjorn Bartling,Bjorn Bartling,['Bjorn Bartling']
"Gustafsson, Bjorn",Bjorn Gustafsson,"['Gustafsson, Bjorn']"
"Hansson, Bjorn",Bjorn Hansson,"['Hansson, Bjorn']"
"Lindgren, Bjorn",Bjorn Lindgren,"['Lindgren, Bjorn']"
"Jorgensen, Bjorn N.",Bjorn N. Jorgensen,"['Jorgensen, Bjorn N.']"
Bjorn R. Gudmundsson,Bjorn R. Gudmundsson,['Bjorn R. Gudmundsson']
"Segendorff, Bjorn",Bjorn Segendorff,"['Segendorff, Bjorn']"
Bjorn Thalberg,Bjorn Thalberg,['Bjorn Thalberg']
"Wittrock, Bjorn",Bjorn Wittrock,"['Wittrock, Bjorn']"
"Bartling, Björn",Björn Bartling,"['Bartling, Björn', 'Björn Bartling']"
"Bick, Björn",Björn Bick,"['Bick, Björn']"
Björn Brügemann,Björn Brügemann,['Björn Brügemann']
"Hagströmer, Björn",Björn Hagströmer,"['Hagströmer, Björn', 'Björn Hagströmer']"
"Hansson, Björn",Björn Hansson,"['Hansson, Björn']"
"Hilberg, Björn",Björn Hilberg,"['Hilberg, Björn']"
"Imbierowicz, Björn",Björn Imbierowicz,"['Imbierowicz, Björn']"
"Ohl, Björn",Björn Ohl,"['Ohl, Björn']"
Björn Persson,Björn Persson,['Björn Persson']
"Tyrefors Hinnerich, Björn",Björn Tyrefors Hinnerich,"['Tyrefors Hinnerich, Björn', 'Björn Tyrefors Hinnerich']"
"Vollan, Björn",Björn Vollan,"['Vollan, Björn']"
Björn Wallace,Björn Wallace,['Björn Wallace']
"Öckert, Björn",Björn Öckert,"['Öckert, Björn', 'Björn Öckert']"
"Eraker, Bjørn",Bjørn Eraker,"['Eraker, Bjørn', 'Bjørn Eraker']"
"Høyland, Bjørn",Bjørn Høyland,"['Høyland, Bjørn']"
"Jorgensen, Bjørn N.",Bjørn N. Jorgensen,"['Jorgensen, Bjørn N.']"
"Reme, Bjørn-Atle",Bjørn-Atle Reme,"['Reme, Bjørn-Atle']"
Blackorby Charles,Blackorby Charles,['Blackorby Charles']
"Huntsman, Blaine",Blaine Huntsman,"['Huntsman, Blaine']"
Blaine Roberts,Blaine Roberts,"['Blaine Roberts', 'Roberts, Blaine']"
"Melly, Blaise",Blaise Melly,"['Melly, Blaise', 'Blaise Melly']"
"Allison, Blake A.",Blake A. Allison,"['Allison, Blake A.']"
"LeBaron, Blake D",Blake D LeBaron,"['LeBaron, Blake D', 'LeBaron, Blake', 'Blake LeBaron']"
"Imel, Blake",Blake Imel,"['Imel, Blake']"
"Phillips, Blake",Blake Phillips,"['Phillips, Blake']"
Blanche E. Hazard,Blanche E. Hazard,['Blanche E. Hazard']
"Bruce A., Blonigen",Blonigen Bruce A.,"['Bruce A., Blonigen']"
"Putnam, Bluford H",Bluford H Putnam,"['Putnam, Bluford H']"
Blume Andreas,Blume Andreas,['Blume Andreas']
"Axell, Bo",Bo Axell,"['Axell, Bo', 'Bo Axell']"
"Becker, Bo",Bo Becker,"['Becker, Bo', 'Bo Becker']"
"Carlsson, Bo",Bo Carlsson,"['Carlsson, Bo']"
Bo Chen,Bo Chen,"['Bo Chen', 'Chen, Bo']"
Bo Cowgill,Bo Cowgill,['Bo Cowgill']
Bo E. Honor,Bo E. Honor,['Bo E. Honor']
Bo E. Honoré,Bo E. Honoré,['Bo E. Honoré']
Bo Feng,Bo Feng,['Bo Feng']
"Honore, Bo",Bo Honore,"['Honore, Bo', 'Honore, Bo E', 'Honore, Bo E.', 'Bo E. Honore']"
"Thorsen, Bo Jellesmark",Bo Jellesmark Thorsen,"['Thorsen, Bo Jellesmark']"
"Rasmussen, Bo Sandemann",Bo Sandemann Rasmussen,"['Rasmussen, Bo Sandemann']"
"Sodersten, Bo",Bo Sodersten,"['Sodersten, Bo']"
Bo Yang,Bo Yang,['Bo Yang']
"Chang, Bo Young",Bo Young Chang,"['Chang, Bo Young']"
Board Raymond,Board Raymond,['Board Raymond']
"Moselle, Boaz",Boaz Moselle,"['Moselle, Boaz']"
"Nandwa, Boaz",Boaz Nandwa,"['Nandwa, Boaz']"
"Goldstein, Bob",Bob Goldstein,"['Goldstein, Bob']"
"Hamilton, Bob",Bob Hamilton,"['Hamilton, Bob']"
"Korkie, Bob M",Bob M Korkie,"['Korkie, Bob M', 'Korkie, Bob']"
"Rijkers, Bob",Bob Rijkers,"['Rijkers, Bob', 'Bob Rijkers']"
"Rowthorn, Bob",Bob Rowthorn,"['Rowthorn, Bob']"
Bob. A. Hedges,Bob. A. Hedges,['Bob. A. Hedges']
"Horn, Bobbie L",Bobbie L Horn,"['Horn, Bobbie L']"
"Apostolakis, Bobby",Bobby Apostolakis,"['Apostolakis, Bobby']"
Bocar A. Ba,Bocar A. Ba,['Bocar A. Ba']
Bogaçhan Çelen,Bogaçhan Çelen,['Bogaçhan Çelen']
"Stacescu, Bogdan",Bogdan Stacescu,"['Stacescu, Bogdan']"
"Kukharskyy, Bohdan",Bohdan Kukharskyy,"['Kukharskyy, Bohdan']"
Bohm Volker,Bohm Volker,['Bohm Volker']
Bohui Zhang,Bohui Zhang,"['Bohui Zhang', 'Zhang, Bohui']"
Boies Penrose,Boies Penrose,['Boies Penrose']
"Baik, Bok",Bok Baik,"['Baik, Bok']"
Boldrin Michele,Boldrin Michele,['Boldrin Michele']
"Tolwinski, Boleslaw",Boleslaw Tolwinski,"['Tolwinski, Boleslaw']"
"Cao, Bolong",Bolong Cao,"['Cao, Bolong']"
"Sung, Bom Yong",Bom Yong Sung,"['Sung, Bom Yong']"
Bondan Sikoki,Bondan Sikoki,"['Bondan Sikoki', 'Sikoki, Bondan']"
"Yoon, Bong Joon",Bong Joon Yoon,"['Yoon, Bong Joon']"
"Jung, Bong S",Bong S Jung,"['Jung, Bong S']"
"Lee, Bong Soo",Bong Soo Lee,"['Lee, Bong Soo']"
"Lee, Bong Woo",Bong Woo Lee,"['Lee, Bong Woo', 'B. M. S. Lee']"
"Kho, Bong-Chan",Bong-Chan Kho,"['Kho, Bong-Chan', 'Bong-Chan Kho']"
Bong-Gyu Jang,Bong-Gyu Jang,"['Bong-Gyu Jang', 'Jang, Bong-Gyu']"
"Kim, Bong-Han",Bong-Han Kim,"['Kim, Bong-Han']"
"Lee, Bong-Soo",Bong-Soo Lee,"['Lee, Bong-Soo', 'B. M. S. Lee']"
"Kim, Bonggeun",Bonggeun Kim,"['Kim, Bonggeun', 'Bonggeun Kim']"
"Dieter Bos, Bonn",Bonn Dieter Bos,"['Dieter Bos, Bonn']"
"Berk, Bonnie",Bonnie Berk,"['Berk, Bonnie']"
Bonnie E. Loopesko,Bonnie E. Loopesko,['Bonnie E. Loopesko']
"Van Ness, Bonnie F.",Bonnie F. Van Ness,"['Van Ness, Bonnie F.', 'Van Ness, Bonnie']"
"Garrett, Bonnie",Bonnie Garrett,"['Garrett, Bonnie', 'Garrett, B.']"
"Meszaros, Bonnie T",Bonnie T Meszaros,"['Meszaros, Bonnie T']"
"Koo, Bonsoo",Bonsoo Koo,"['Koo, Bonsoo']"
"Koh, Boon Han",Boon Han Koh,"['Koh, Boon Han']"
"Lee, Boon L.",Boon L. Lee,"['Lee, Boon L.']"
"Jitmaneeroj, Boonlert",Boonlert Jitmaneeroj,"['Jitmaneeroj, Boonlert']"
"Wang, Boqing",Boqing Wang,"['Wang, Boqing']"
"Lee, Boram",Boram Lee,"['Lee, Boram']"
Border Kim C.,Border Kim C.,['Border Kim C.']
Borgers Tilman,Borgers Tilman,['Borgers Tilman']
Boris C. Swerling,Boris C. Swerling,['Boris C. Swerling']
Boris Emmet,Boris Emmet,['Boris Emmet']
Boris Gershman,Boris Gershman,"['Boris Gershman', 'Gershman, Boris']"
Boris Hirsch,Boris Hirsch,['Boris Hirsch']
"Hofmann, Boris",Boris Hofmann,"['Hofmann, Boris']"
Boris Kaiser,Boris Kaiser,['Boris Kaiser']
Boris Nikolov,Boris Nikolov,['Boris Nikolov']
